category,rating,label,text_
Home_and_Kitchen_5,2,OR,Ordered 3 and one was broken. Very disappointed. Two stars though because the candle smells amazing.
Home_and_Kitchen_5,3,OR,Lately I've been using a towel again. Its easier to wash and dry then the rubber mat.
Home_and_Kitchen_5,1,OR,Didn't mix the paint at all. maybe would have been good for a quart. but that's pointless.
Home_and_Kitchen_5,1,OR,"Do not buy, not worth the money. Return time not long enough to test them thoroughly. Disgusted."
Home_and_Kitchen_5,3,OR,"They are ok, don't hold the shape will. Don't mash them or your drink will slosh out."
Home_and_Kitchen_5,1,OR,Broke before I could use it! Leg broke during assembly. Cheap materials not fit for intended use.
Home_and_Kitchen_5,3,OR,Some how I changed the filter with this but indication for carbon on machine never go away
Home_and_Kitchen_5,3,OR,These are quite small. I recommend a ruler to see how small they will be before purchase.
Home_and_Kitchen_5,1,OR,Colors don't show up as good as the pictures. Some of the them are trying to come off.
Home_and_Kitchen_5,3,OR,"Delivery was exactly as expected.  Bowls were in perfect condition, however they were much smaller than expected."
Home_and_Kitchen_5,3,OR,"It works.  With a name like this, I was surprised to find that it's built in Asia."
Home_and_Kitchen_5,3,OR,Not great: the steel is pretty thin. But the design is good and they're OK. Nice glass covers.
Home_and_Kitchen_5,1,OR,"This stuff did not adhere very well on the corners of our tables and is nowhere near ""Clear""."
Home_and_Kitchen_5,3,OR,Takes a while to get enough for noodles but ok product. Your hand might be tired when done.
Home_and_Kitchen_5,3,OR,"Really to strong, was expecting the pleasant aroma of Jasmine, instead got a heavy sweet smell unlike Jasmine."
Home_and_Kitchen_5,2,OR,"The  quality is not that good. When I bake a pie, the silicone cake pan changes color."
Home_and_Kitchen_5,1,OR,You would be better off just sitting you kitchen wrap products on your pantry selves or kitchen counter.
Home_and_Kitchen_5,3,OR,"love these bags but one had a hole in it, but a good price for the amount you get"
Home_and_Kitchen_5,1,OR,Poorly assembled. Wheel wobbles and material is under gauged. Don't waste your money. Went in trash after one use.
Home_and_Kitchen_5,1,OR,"Total crap, cups are all scratched up and lid seal fell apart in 6 months. Glass is always better!"
Home_and_Kitchen_5,2,OR,Very small and flimsy looking bag. The product info on the webiste is somewhat unclear/misleading. Had to return it.
Home_and_Kitchen_5,3,OR,"Although this tablecloth is so pretty, it tears very easily. It did not last very long on my table."
Home_and_Kitchen_5,3,OR,I was expecting more.  It's quite a workout to use it and the results were subpar at best.
Home_and_Kitchen_5,1,OR,Very poor quality.  Thought it would be funny and usable...Problem is that it doesn't fit a wine bottle.
Home_and_Kitchen_5,3,OR,Arrived with several minor scratches on it. Not bad for the price but the scuffs and scratches bother me.
Home_and_Kitchen_5,3,OR,"Well made, but shape isn't ideal for larger ears. Also they do not nest together, which would have been nice."
Home_and_Kitchen_5,2,OR,I had this before and loved it this time I can barly get lids off and on-dont know what happened.
Home_and_Kitchen_5,3,OR,They are hard to get up in the air but when you get one that goes up it is beautiful!
Home_and_Kitchen_5,1,OR,Tore apart easier than toilet paper. Its so cheaply put together. Do not waste your time and money.
Home_and_Kitchen_5,3,OR,"Compact, easy to store, easy to use . . .
But not heavy duty at all. Don't try crushing ice, for example."
Home_and_Kitchen_5,3,OR,"These containers are neither leak-proof nor airtight.  However, they are very hand, and I can use them for other purposes."
Home_and_Kitchen_5,2,OR,not too efficient...small and comfortable to wear; but really didn't give the essential air as it is advertised to do...oh well..
Home_and_Kitchen_5,3,OR,"Appearance-wise, the toaster is very good looking.  However it toasts unevenly most of the time, no matter what the setting."
Home_and_Kitchen_5,1,OR,"Very flimsy and hard to put it together. Once you mess the back carton board corner, it's impossible to fix it."
Home_and_Kitchen_5,1,OR,"rusted after 1 use in dishwasher, was very happy to mail them back! this is a stainless finish not actual stainless."
Home_and_Kitchen_5,1,OR,"chopped a half cup of walnuts 3 times, the button broke. a piece of trash great when it ran tho."
Home_and_Kitchen_5,3,OR,"Not the clear quality I was expecting, probably won't be using it where I thought I would. It's ok, just not great."
Home_and_Kitchen_5,3,OR,"Not totally waterproof. Front allowed some water thru, but only in upper section. Very long - will shorten. Nice patent leather finish."
Home_and_Kitchen_5,2,OR,Colors are off white & a pink red color. Returned it since it clashes with my real white & red kit hen.
Home_and_Kitchen_5,3,OR,"A nice idea that my daughter loved, too bad the quality was so poor that it couldn't even last through its Second Use."
Home_and_Kitchen_5,1,OR,Only received 6 bottles!!!! Also the caps are not the same as whats pictured they are the cheapie looking orange ones. Very disappointed....
Home_and_Kitchen_5,2,OR,Worked good at first  until the grooves got clogged. I prefer the hand julienne tool for a better noodle in the end.
Home_and_Kitchen_5,2,OR,Great chair however the left arm broke off after a few months. I fixed it with gorilla glue. Pretty disappointed in the quality.
Home_and_Kitchen_5,1,OR,"SThey're incredibly thin, rip easily, bleed and are hard to get off the muffins. Splurge for a little more thicker ones, these suck."
Home_and_Kitchen_5,2,OR,To thin and first time I sat down the string that was tied to chair ripped off. Cheap price still not worth it.
Home_and_Kitchen_5,1,OR,This is a piece of junk. Do not buy does not work Cheese grater does not work. this is nothing more than a rip-off.
Home_and_Kitchen_5,1,OR,"Gave them several tries. Made sure tile was clean, suction cups were clean, suction properly applied. No go. Cannot recommend. They're in the trash."
